timestamp_sec,latitude,longitude,altitude,pitch,roll,yaw,rtk_status
1.167,28.6130247,77.2298294,122.8,-22.62,3.67,23.33,FIXED_RTK
1.2,28.6130281,77.2298277,122.88,-22.56,3.65,24.0,FIXED_RTK
1.233,28.6130314,77.229826,122.96,-22.5,3.64,24.67,FIXED_RTK
1.267,28.6130347,77.2298242,123.04,-22.43,3.62,25.33,FIXED_RTK
1.3,28.6130381,77.2298224,123.12,-22.37,3.6,26.0,FIXED_RTK
1.333,28.6130413,77.2298206,123.2,-22.31,3.57,26.67,FIXED_RTK
1.367,28.6130446,77.2298187,123.28,-22.25,3.55,27.33,FIXED_RTK
1.4,28.6130478,77.2298167,123.36,-22.18,3.53,28.0,FIXED_RTK
1.433,28.6130511,77.2298148,123.44,-22.12,3.51,28.67,FIXED_RTK
1.467,28.6130543,77.2298127,123.52,-22.06,3.49,29.33,FIXED_RTK
1.5,28.6130575,77.2298107,123.6,-22.0,3.46,30.0,FIXED_RTK
1.533,28.6130606,77.2298086,123.68,-21.94,3.44,30.67,FIXED_RTK
1.567,28.6130638,77.2298064,123.76,-21.88,3.42,31.33,FIXED_RTK
1.6,28.6130669,77.2298042,123.84,-21.82,3.39,32.0,FIXED_RTK
1.633,28.61307,77.229802,123.92,-21.76,3.37,32.67,FIXED_RTK
1.667,28.6130731,77.2297997,124.0,-21.7,3.34,33.33,FIXED_RTK
1.7,28.6130761,77.2297974,124.08,-21.64,3.32,34.0,FIXED_RTK
1.733,28.6130791,77.229795,124.16,-21.59,3.29,34.67,FIXED_RTK
1.767,28.6130821,77.2297927,124.24,-21.53,3.26,35.33,FIXED_RTK
1.8,28.6130851,77.2297902,124.32,-21.47,3.24,36.0,FIXED_RTK
1.833,28.6130881,77.2297877,124.4,-21.42,3.21,36.67,FIXED_RTK
1.867,28.613091,77.2297852,124.48,-21.36,3.18,37.33,FIXED_RTK
1.9,28.6130939,77.2297827,124.56,-21.31,3.15,38.0,FIXED_RTK
1.933,28.6130968,77.2297801,124.64,-21.25,3.12,38.67,FIXED_RTK
1.967,28.6130996,77.2297775,124.72,-21.2,3.09,39.33,FIXED_RTK
2.0,28.6131024,77.2297748,124.8,-21.14,3.06,40.0,FIXED_RTK
2.033,28.6131052,77.2297721,124.88,-21.09,3.03,40.67,FIXED_RTK
2.067,28.613108,77.2297694,124.96,-21.04,3.0,41.33,FIXED_RTK
2.1,28.6131107,77.2297666,125.04,-20.99,2.97,42.0,FIXED_RTK
2.133,28.6131134,77.2297638,125.12,-20.93,2.94,42.67,FIXED_RTK
2.167,28.6131161,77.2297609,125.2,-20.88,2.91,43.33,FIXED_RTK
2.2,28.6131188,77.229758,125.28,-20.83,2.88,44.0,FIXED_RTK
2.233,28.6131214,77.2297551,125.36,-20.78,2.84,44.67,FIXED_RTK
2.267,28.613124,77.2297522,125.44,-20.73,2.81,45.33,FIXED_RTK
2.3,28.6131265,77.2297492,125.52,-20.68,2.78,46.0,FIXED_RTK
2.333,28.6131291,77.2297462,125.6,-20.64,2.74,46.67,FIXED_RTK
2.367,28.6131316,77.2297431,125.68,-20.59,2.71,47.33,FIXED_RTK
2.4,28.613134,77.22974,125.76,-20.54,2.68,48.0,FIXED_RTK
2.433,28.6131365,77.2297369,125.84,-20.49,2.64,48.67,FIXED_RTK
2.467,28.6131389,77.2297338,125.92,-20.45,2.61,49.33,FIXED_RTK
2.5,28.6131412,77.2297306,126.0,-20.4,2.57,50.0,FIXED_RTK
2.533,28.6131436,77.2297274,126.08,-20.36,2.54,50.67,FIXED_RTK
2.567,28.6131459,77.2297241,126.16,-20.32,2.5,51.33,FIXED_RTK
2.6,28.6131482,77.2297209,126.24,-20.27,2.46,52.0,FIXED_RTK
2.633,28.6131504,77.2297176,126.32,-20.23,2.43,52.67,FIXED_RTK
2.667,28.6131526,77.2297142,126.4,-20.19,2.39,53.33,FIXED_RTK
2.7,28.6131548,77.2297109,126.48,-20.15,2.35,54.0,FIXED_RTK
2.733,28.6131569,77.2297075,126.56,-20.11,2.31,54.67,FIXED_RTK
2.767,28.613159,77.229704,126.64,-20.07,2.28,55.33,FIXED_RTK
2.8,28.6131611,77.2297006,126.72,-20.03,2.24,56.0,FIXED_RTK
2.833,28.6131631,77.2296971,126.8,-19.99,2.2,56.67,FIXED_RTK
2.867,28.6131651,77.2296936,126.88,-19.95,2.16,57.33,FIXED_RTK
2.9,28.6131671,77.2296901,126.96,-19.91,2.12,58.0,FIXED_RTK
2.933,28.613169,77.2296865,127.04,-19.88,2.08,58.67,FIXED_RTK
2.967,28.6131709,77.229683,127.12,-19.84,2.04,59.33,FIXED_RTK
3.0,28.6131727,77.2296794,127.2,-19.8,2.0,60.0,FIXED_RTK
3.033,28.6131745,77.2296757,127.28,-19.77,1.96,60.67,FIXED_RTK
3.067,28.6131763,77.2296721,127.36,-19.74,1.92,61.33,FIXED_RTK
3.1,28.6131781,77.2296684,127.44,-19.7,1.88,62.0,FIXED_RTK
3.133,28.6131798,77.2296647,127.52,-19.67,1.84,62.67,FIXED_RTK
3.167,28.6131814,77.229661,127.6,-19.64,1.8,63.33,FIXED_RTK
3.2,28.613183,77.2296573,127.68,-19.61,1.75,64.0,FIXED_RTK
3.233,28.6131846,77.2296535,127.76,-19.58,1.71,64.67,FIXED_RTK
3.267,28.6131862,77.2296497,127.84,-19.55,1.67,65.33,FIXED_RTK
3.3,28.6131877,77.2296459,127.92,-19.52,1.63,66.0,FIXED_RTK
3.333,28.6131892,77.2296421,128.0,-19.49,1.58,66.67,FIXED_RTK
3.367,28.6131906,77.2296382,128.08,-19.46,1.54,67.33,FIXED_RTK
3.4,28.613192,77.2296344,128.16,-19.44,1.5,68.0,FIXED_RTK
3.433,28.6131933,77.2296305,128.24,-19.41,1.46,68.67,FIXED_RTK
3.467,28.6131947,77.2296266,128.32,-19.39,1.41,69.33,FIXED_RTK
3.5,28.6131959,77.2296227,128.4,-19.36,1.37,70.0,FIXED_RTK
3.533,28.6131972,77.2296188,128.48,-19.34,1.32,70.67,FIXED_RTK
3.567,28.6131984,77.2296148,128.56,-19.32,1.28,71.33,FIXED_RTK
3.6,28.6131995,77.2296109,128.64,-19.29,1.24,72.0,FIXED_RTK
3.633,28.6132006,77.2296069,128.72,-19.27,1.19,72.67,FIXED_RTK
3.667,28.6132017,77.2296029,128.8,-19.25,1.15,73.33,FIXED_RTK
3.7,28.6132027,77.2295989,128.88,-19.23,1.1,74.0,FIXED_RTK
3.733,28.6132037,77.2295949,128.96,-19.21,1.06,74.67,FIXED_RTK
3.767,28.6132047,77.2295908,129.04,-19.2,1.01,75.33,FIXED_RTK
3.8,28.6132056,77.2295868,129.12,-19.18,0.97,76.0,FIXED_RTK
3.833,28.6132064,77.2295827,129.2,-19.16,0.92,76.67,FIXED_RTK
3.867,28.6132073,77.2295787,129.28,-19.15,0.88,77.33,FIXED_RTK
3.9,28.613208,77.2295746,129.36,-19.13,0.83,78.0,FIXED_RTK
3.933,28.6132088,77.2295705,129.44,-19.12,0.79,78.67,FIXED_RTK
3.967,28.6132095,77.2295664,129.52,-19.1,0.74,79.33,FIXED_RTK
4.0,28.6132101,77.2295623,129.6,-19.09,0.69,80.0,FIXED_RTK
4.033,28.6132108,77.2295582,129.68,-19.08,0.65,80.67,FIXED_RTK
4.067,28.6132113,77.2295541,129.76,-19.07,0.6,81.33,FIXED_RTK
4.1,28.6132119,77.2295499,129.84,-19.06,0.56,82.0,FIXED_RTK
4.133,28.6132123,77.2295458,129.92,-19.05,0.51,82.67,FIXED_RTK
4.167,28.6132128,77.2295416,130.0,-19.04,0.46,83.33,FIXED_RTK
4.2,28.6132132,77.2295375,130.08,-19.03,0.42,84.0,FIXED_RTK
4.233,28.6132136,77.2295333,130.16,-19.03,0.37,84.67,FIXED_RTK
4.267,28.6132139,77.2295292,130.24,-19.02,0.33,85.33,FIXED_RTK
4.3,28.6132142,77.229525,130.32,-19.01,0.28,86.0,FIXED_RTK
4.333,28.6132144,77.2295209,130.4,-19.01,0.23,86.67,FIXED_RTK
4.367,28.6132146,77.2295167,130.48,-19.01,0.19,87.33,FIXED_RTK
4.4,28.6132147,77.2295125,130.56,-19.0,0.14,88.0,FIXED_RTK
4.433,28.6132148,77.2295083,130.64,-19.0,0.09,88.67,FIXED_RTK
4.467,28.6132149,77.2295042,130.72,-19.0,0.05,89.33,FIXED_RTK
4.5,28.6132149,77.2295,130.8,-19.0,0.0,90.0,FIXED_RTK
4.533,28.6132149,77.2294958,130.88,-19.0,-0.05,90.67,FIXED_RTK
4.567,28.6132148,77.2294917,130.96,-19.0,-0.09,91.33,FIXED_RTK
4.6,28.6132147,77.2294875,131.04,-19.0,-0.14,92.0,FIXED_RTK
4.633,28.6132146,77.2294833,131.12,-19.01,-0.19,92.67,FIXED_RTK
4.667,28.6132144,77.2294791,131.2,-19.01,-0.23,93.33,FIXED_RTK
4.7,28.6132142,77.229475,131.28,-19.01,-0.28,94.0,FIXED_RTK
4.733,28.6132139,77.2294708,131.36,-19.02,-0.33,94.67,FIXED_RTK
4.767,28.6132136,77.2294667,131.44,-19.03,-0.37,95.33,FIXED_RTK
4.8,28.6132132,77.2294625,131.52,-19.03,-0.42,96.0,FIXED_RTK
4.833,28.6132128,77.2294584,131.6,-19.04,-0.46,96.67,FIXED_RTK
4.867,28.6132123,77.2294542,131.68,-19.05,-0.51,97.33,FIXED_RTK
4.9,28.6132119,77.2294501,131.76,-19.06,-0.56,98.0,FIXED_RTK
4.933,28.6132113,77.2294459,131.84,-19.07,-0.6,98.67,FIXED_RTK
4.967,28.6132108,77.2294418,131.92,-19.08,-0.65,99.33,FIXED_RTK
